"","date","pitch_type","release_speed","player_name","home_team","bb_type","inning","hit_distance_sc","launch_speed","launch_angle","release_spin_rate","pitch_name","DailyAverageDryBulbTemperature","DailyAverageStationPressure","DailyAverageWindSpeed","DailyDepartureFromNormalAverageTemperature","DailyCoolingDegreeDays","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPrecipitation","hit_dist_sc"
"1","2015/04/10","FT","89.6","Cameron Maybin","ATL","line_drive",1,"425",108.5,20.7,"1931","2-Seam Fastball",69,28.99,7,9.1,4,0,75,62,"0.64",425
"2","2015/04/11","FC","86.3","Freddie Freeman","ATL","fly_ball",2,"340",104.7,39.4,"2299","Cutter",66,29.03,4.9,5.8,1,0,79,53,"0.00",340
"3","2015/04/12","FF","91.1","Jonny Gomes","ATL","fly_ball",7,"429",99,37.3,"2308","4-Seam Fastball",61,29.1,4.4,0.5,0,4,70,51,"T",429
"4","2015/04/14","CH","84.1","A.J. Pierzynski","ATL","fly_ball",4,"390",97.8,28.7,"1604","Changeup",73,29,7.7,12,8,0,81,65,"0.17",390
"5","2015/04/14","FT","93.1","Freddie Freeman","ATL","line_drive",4,"396",101.6,29.8,"2055","2-Seam Fastball",73,29,7.7,12,8,0,81,65,"0.17",396
"6","2015/04/15","FC","82.1","Kelly Johnson","ATL","fly_ball",7,"394",97.7,30.8,"1505","Cutter",64,29.03,4.3,2.8,0,1,74,54,"0.29",394
"7","2015/04/15","FF","86.9","Cameron Maybin","ATL","fly_ball",6,"352",101,32.2,"1064","4-Seam Fastball",64,29.03,4.3,2.8,0,1,74,54,"0.29",352
"8","2015/04/27","SI","86.4","Kelly Johnson","ATL","fly_ball",6,"423",104.2,38.1,"2205","Sinker",60,28.79,5.9,-4.2,0,5,70,50,"0.00",423
"9","2015/05/01","FF","92.8","Kelly Johnson","ATL","fly_ball",5,"414",104.9,28.1,"2076","4-Seam Fastball",59,28.9,8.9,-6.1,0,6,71,46,"0.00",414
"10","2015/05/02","SI","88.0","Cameron Maybin","ATL","line_drive",5,"400",98.2,24.8,"1705","Sinker",61,29.03,1.6,-4.4,0,4,77,45,"0.00",400
"11","2015/05/03","CH","84.6","Jonny Gomes","ATL","line_drive",3,"399",104.6,23.1,"1485","Changeup",64,29.08,2.8,-1.6,0,1,79,49,"0.00",399
"12","2015/05/03","FC","88.0","Kelly Johnson","ATL","fly_ball",1,"430",102.5,27.7,"2335","Cutter",64,29.08,2.8,-1.6,0,1,79,49,"0.00",430
